PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,250,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,8,15,382,147,16.1,2.1,437.433,28.113,91776.141,88159.992
1,8,16,188,82,15.6,2.1,197.615,20.503,42171.391,39900.301
1,8,17,9,6,13.9,2.1,8.905,12.844,1918.451,492.28
1,8,18,0,0,13.3,2.6,0,13.3,0,0
1,8,19,0,0,12.2,2.1,0,12.2,0,0
1,8,20,0,0,11.1,0,0,11.1,0,0
1,8,21,0,0,10.6,0,0,10.6,0,0
1,8,22,0,0,9.4,0,0,9.4,0,0
1,8,23,0,0,8.9,1.5,0,8.9,0,0
1,9,0,0,0,8.9,2.1,0,8.9,0,0
1,9,1,0,0,7.8,2.1,0,7.8,0,0
1,9,2,0,0,7.8,2.1,0,7.8,0,0
1,9,3,0,0,6.7,0,0,6.7,0,0
1,9,4,0,0,6.1,2.6,0,6.1,0,0
1,9,5,0,0,5.6,3.1,0,5.6,0,0
1,9,6,0,0,5.6,2.6,0,5.6,0,0
1,9,7,33,6,5.6,2.6,15.294,4.024,3191.207,1741.702
1,9,8,373,53,6.7,3.6,248.178,10.791,54041.176,51478.758
1,9,9,576,72,8.9,3.1,480.237,19.373,104314.375,100305.133
1,9,10,745,98,10.6,2.6,738.275,28.638,155347.844,149517.469
1,9,11,772,128,12.8,1.5,874.857,38.335,176103.563,169430.953
1,9,12,775,136,14.4,2.1,917.292,39.114,184033.828,177023.922
1,9,13,782,131,16.1,0,896.219,51.452,168571.328,162211.156
1,9,14,735,127,16.7,2.1,780.16,37.983,156986.328,151091.609
1,9,15,634,100,16.7,2.1,569.318,32.35,116734.484,112314.719
1,9,16,284,78,16.7,1.5,246.688,24.193,51450.977,48953.77
1,9,17,60,3,15,0,26.265,16.158,5188.263,3701.701
1,9,18,0,0,13.3,0,0,13.3,0,0
1,9,19,0,0,12.2,2.1,0,12.2,0,0
1,9,20,0,0,11.1,0,0,11.1,0,0
1,9,21,0,0,9.4,1.5,0,9.4,0,0
1,9,22,0,0,9.4,1.5,0,9.4,0,0
1,9,23,0,0,9.4,2.1,0,9.4,0,0
1,10,0,0,0,8.9,2.1,0,8.9,0,0
1,10,1,0,0,7.8,1.5,0,7.8,0,0
1,10,2,0,0,7.2,1.5,0,7.2,0,0
1,10,3,0,0,6.7,1.5,0,6.7,0,0
1,10,4,0,0,6.1,2.1,0,6.1,0,0
1,10,5,0,0,6.1,3.1,0,6.1,0,0
1,10,6,0,0,5.6,3.1,0,5.6,0,0
1,10,7,44,5,5.6,4.6,17.579,4.473,3581.725,2125.016
1,10,8,434,55,6.7,3.1,276.849,11.693,59893.711,57180.586
1,10,9,656,65,9.4,3.1,522.691,20.945,112628.758,108347.023
1,10,10,708,114,12.2,2.6,727.53,30.044,152080.609,146377.453
1,10,11,683,165,15,1.5,836.223,39.35,167485.891,161170.109
1,10,12,801,144,16.7,1.5,951.596,44.34,185896.484,178806.109
1,10,13,824,126,18.9,1.5,929.49,46.212,179747.734,172921.188
1,10,14,805,124,18.9,1.5,835.527,43.705,163309.219,157162.719
1,10,15,487,128,20,1.5,498.616,35.468,100851.211,96952.688
1,10,16,124,101,19.4,2.6,185.799,23.815,39393.387,37187.703
1,10,17,43,10,17.8,2.1,27.16,17.286,5556.875,4063.413
1,10,18,0,0,15.6,1.5,0,15.6,0,0
1,10,19,0,0,13.3,2.1,0,13.3,0,0
1,10,20,0,0,12.8,1.5,0,12.8,0,0
1,10,21,0,0,11.7,1.5,0,11.7,0,0
1,10,22,0,0,11.1,0,0,11.1,0,0
1,10,23,0,0,10.6,0,0,10.6,0,0
1,11,0,0,0,9.4,0,0,9.4,0,0
1,11,1,0,0,9.4,0,0,9.4,0,0
1,11,2,0,0,9.4,2.1,0,9.4,0,0
1,11,3,0,0,8.9,3.1,0,8.9,0,0
1,11,4,0,0,8.9,3.1,0,8.9,0,0
1,11,5,0,0,9.4,4.1,0,9.4,0,0
1,11,6,0,0,10,4.1,0,10,0,0
1,11,7,0,4,10,3.6,3.67,8.438,850.4,0
1,11,8,0,53,10.6,3.6,50.751,10.092,11675.979,10065.278
1,11,9,0,97,11.7,3.6,90.814,12.254,20694.779,18901.977
1,11,10,2,195,12.2,3.6,194.138,15.246,43651.16,41344.797
1,11,11,47,308,13.9,3.6,386.099,21.574,84334.93,80941.938
1,11,12,99,326,15.6,2.1,456.101,27.143,97060.734,93281.516
1,11,13,108,287,16.1,3.6,413.155,24.969,88817.305,85290.789
1,11,14,2,216,17.2,3.1,216.769,21.81,47302.668,44907.992
1,11,15,22,179,16.7,1.5,198.735,21.389,43401.863,41101.461
1,11,16,22,94,16.7,0,109.599,20.733,23897.895,22037.748
1,11,17,20,12,15.6,0,19.368,14.123,4143.847,2676.733
1,11,18,0,0,13.9,1,0,13.9,0,0
1,11,19,0,0,12.8,2.1,0,12.8,0,0
1,11,20,0,0,11.7,2.1,0,11.7,0,0
1,11,21,0,0,11.1,2.6,0,11.1,0,0
1,11,22,0,0,10,0,0,10,0,0
1,11,23,0,0,8.9,2.1,0,8.9,0,0
1,12,0,0,0,7.8,1.5,0,7.8,0,0
1,12,1,0,0,7.2,2.1,0,7.2,0,0
1,12,2,0,0,7.2,2.1,0,7.2,0,0
1,12,3,0,0,6.1,1.5,0,6.1,0,0
1,12,4,0,0,6.1,3.1,0,6.1,0,0
1,12,5,0,0,5,0,0,5,0,0
1,12,6,0,0,5.6,2.1,0,5.6,0,0
1,12,7,63,3,5.6,1.5,21.175,3.921,4191.423,2723.426
1,12,8,523,36,8.3,1.5,292.093,14.903,61769.793,59007.367
1,12,9,758,33,11.1,2.6,537.72,23.701,114145.281,109812.828
1,12,10,861,62,13.9,2.1,774.956,34.102,158736.25,152772.391
1,12,11,867,90,16.7,1.5,910.161,43.057,178860.578,172071.672
1,12,12,906,91,18.9,2.6,982.149,43.5,192692.828,185304.813
1,12,13,927,90,20,3.6,976.779,42.215,192829.984,185435.906
1,12,14,887,93,20.6,2.6,864.443,42.571,169932.5,163516.438
1,12,15,811,73,21.1,2.1,658.45,39.11,130459.195,125561.328
1,12,16,445,69,20.6,2.1,316.19,29.326,63928.977,61109.215
1,12,17,110,2,18.9,2.1,38.848,19.169,7328.442,5801.563
1,12,18,0,0,16.7,2.6,0,16.7,0,0
1,12,19,0,0,13.9,2.1,0,13.9,0,0
1,12,20,0,0,12.8,1.5,0,12.8,0,0
1,12,21,0,0,12.2,1.5,0,12.2,0,0
1,12,22,0,0,10.6,2.1,0,10.6,0,0
1,12,23,0,0,9.4,0,0,9.4,0,0
1,13,0,0,0,8.9,0,0,8.9,0,0
1,13,1,0,0,8.3,0,0,8.3,0,0
1,13,2,0,0,7.8,0,0,7.8,0,0
1,13,3,0,0,6.7,0,0,6.7,0,0
1,13,4,0,0,6.1,0,0,6.1,0,0
1,13,5,0,0,5.6,0,0,5.6,0,0
1,13,6,0,0,6.1,1.5,0,6.1,0,0
1,13,7,113,9,9.4,0,41.138,7.774,8123.125,6581.117
1,13,8,618,28,9.4,0,320.64,20.344,65807.211,62937.063
1,13,9,821,42,11.7,0,590.401,34.426,119074.133,114574.688
1,13,10,910,54,14.4,0,803.659,45.39,155478.938,149643.422
1,13,11,954,61,17.2,2.6,943.379,40.71,187611.781,180446.875
1,13,12,941,80,18.3,3.1,992.689,41.944,196320.641,188771.188
1,13,13,888,115,20,2.1,971.847,46.079,188077.078,180891.891
1,13,14,790,134,20,2.6,838.19,41.372,165838.734,159590
1,13,15,429,139,20,2.6,473.887,32.4,97413.063,93622.836
1,13,16,263,84,18.9,4.6,236.938,23.271,49744.816,47290.066
1,13,17,109,22,16.7,2.6,71.135,17.439,14586.362,12918.108
1,13,18,0,0,15,3.1,0,15,0,0
1,13,19,0,0,13.3,2.1,0,13.3,0,0
1,13,20,0,0,12.2,1.5,0,12.2,0,0
1,13,21,0,0,11.1,2.6,0,11.1,0,0
1,13,22,0,0,10.6,2.1,0,10.6,0,0
1,13,23,0,0,8.9,2.1,0,8.9,0,0
1,14,0,0,0,8.3,1.5,0,8.3,0,0
1,14,1,0,0,7.8,0,0,7.8,0,0
1,14,2,0,0,7.2,0,0,7.2,0,0
1,14,3,0,0,6.1,0,0,6.1,0,0
1,14,4,0,0,6.7,2.1,0,6.7,0,0
1,14,5,0,0,5,0,0,5,0,0
1,14,6,0,0,5.6,0,0,5.6,0,0
1,14,7,76,11,5.6,2.1,32.096,4.6,6578.705,5066.02
1,14,8,532,35,7.8,1.5,293.891,14.505,62189.848,59416.316
1,14,9,767,53,11.7,0,575.044,33.719,116465.305,112054.656
1,14,10,863,68,15.6,2.6,784.298,34.836,160079.75,154062.531
1,14,11,914,77,17.8,2.1,928.388,42.354,183098.75,176129.047
1,14,12,933,80,18.9,2.1,986.076,45.202,191770.609,184423.359
1,14,13,927,78,20.6,2.6,955.25,44.692,186196.703,179093.297
1,14,14,888,70,21.7,1.5,832.494,46.358,160475.266,154442.281
1,14,15,805,57,21.7,2.6,637.911,37.967,127116.906,122337.836
1,14,16,620,40,21.7,2.1,370.602,31.758,73530.102,70447.703
1,14,17,153,17,18.3,2.1,80.869,19.875,16068.832,14370.817
1,14,18,0,0,16.7,1.5,0,16.7,0,0
1,14,19,0,0,15,2.1,0,15,0,0
