Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/13  14:00:00,42.6848364764,0.310328853046,2.20183904733,0.0,15.863942322,22.030085,6.08807902789,0.0,3.20568,2.88239902789
 08/13  15:00:00,49.8334917277,1.23831999199,8.4361059111,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  16:00:00,50.1897757404,1.40325848667,8.73463512226,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  17:00:00,47.6459700589,1.14696683293,6.45950191893,0.0,15.863942322,22.030085,6.08814523557,0.0,3.20568,2.88246523557
 08/13  18:00:00,43.1339294416,0.507230021113,2.60324648288,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  19:00:00,40.2464656326,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  20:00:00,48.7776250171,0.0,0.0,0.0,15.863942322,22.030085,6.08813023145,0.0,3.20568,2.88245023145
 08/13  21:00:00,48.6300613072,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  22:00:00,48.4607660395,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/13  23:00:00,49.136205767,0.0,0.0,0.0,15.863942322,22.030085,6.08808920225,0.0,3.20568,2.88240920225
 08/13  24:00:00,48.4476996309,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/14  01:00:00,48.4493821638,0.0,0.0,0.0,15.863942322,22.030085,6.08944304476,0.0,3.20568,2.88376304476
 08/14  02:00:00,48.4453783028,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/14  03:00:00,48.4415572175,0.0,0.0,0.0,15.863942322,22.030085,6.08932509311,0.0,3.20568,2.88364509311
 08/14  04:00:00,48.6687981928,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/14  05:00:00,48.6307471409,0.0,0.0,0.0,15.863942322,22.030085,6.08940638543,0.0,3.20568,2.88372638543
 08/14  06:00:00,62.8887394169,9.20068491136,10.2734402146,0.0,15.863942322,22.606085,3.39245456642,0.166774566423,3.20568,0.02
 08/14  07:00:00,61.667779443,9.20068491136,11.8647931763,0.0,15.863942322,22.606085,138.387723324,132.294971905,3.20568,2.88707141887
 08/14  08:00:00,111.842849208,9.20068491136,13.8806437869,0.0,44.73757,41.8366005,67.3932943677,48.4779523849,16.0284,2.88694198281
 08/14  09:00:00,115.097581505,9.20068491136,17.1062320946,0.0,44.73757,41.8366005,44.3709147973,25.4557017944,16.0284,2.88681300289
 08/14  10:00:00,121.652183015,9.20068491136,20.8472796466,0.0,44.73757,44.63617,34.582440442,7.65279274444,24.0426,2.8870476976
 08/14  11:00:00,125.825205474,9.20068491136,24.3012016713,0.0,44.73757,44.63617,27.7484440699,0.818925611672,24.0426,2.88691845821
 08/14  12:00:00,128.785092945,9.20068491136,27.9390354,0.0,44.73757,44.63617,26.9508792022,0.0214896060668,24.0426,2.88678959618
 08/14  13:00:00,129.653271116,9.20068491136,31.5448587236,0.0,44.73757,41.8366005,18.9154242464,0.0,16.0284,2.88702424643
 08/14  14:00:00,131.168249518,9.20068491136,33.0327602393,0.0,44.73757,41.8366005,18.9152951228,0.0,16.0284,2.88689512281
 08/14  15:00:00,128.261851418,9.20068491136,31.3614717252,0.0,44.73757,40.636785,6.12644406511,0.0336339474952,3.20568,2.88713011762
 08/14  16:00:00,125.199177564,9.20079638814,28.4291140221,0.0,44.73757,40.636785,6.09268056067,0.0,3.20568,2.88700056067
 08/14  17:00:00,105.022855237,9.20068491136,26.3004152063,0.0,44.73757,22.606085,6.09255151193,0.0,3.20568,2.88687151193
 08/14  18:00:00,100.960243357,9.20068491136,22.2692834724,0.0,44.73757,22.606085,6.1190364146,0.0204443737667,3.20568,2.89291204083
 08/14  19:00:00,96.8418153748,9.20068491136,17.9483791829,0.0,44.73757,22.606085,9.00531369957,0.0261975662375,3.20568,5.77343613333
 08/14  20:00:00,75.0384456638,9.20068491136,16.5957561721,0.0,15.863942322,22.606085,8.99160281841,0.0157688296751,3.20568,5.77015398874
 08/14  21:00:00,48.583902061,0.0,0.0,0.0,15.863942322,22.030085,8.97582737821,0.0,3.20568,5.77014737821
 08/14  22:00:00,48.4505032363,0.0,0.0,0.0,15.863942322,22.030085,8.96199312976,0.0,3.20568,5.75631312976
 08/14  23:00:00,49.169448096,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/14  24:00:00,48.4615462716,0.0,0.0,0.0,15.863942322,22.030085,6.08938941126,0.0,3.20568,2.88370941126
 08/15  01:00:00,48.4466195708,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/15  02:00:00,48.4352309878,0.0,0.0,0.0,15.863942322,22.030085,6.08947087664,0.0,3.20568,2.88379087664
 08/15  03:00:00,48.439380532,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/15  04:00:00,49.6168844075,0.0,0.0,0.0,15.863942322,22.030085,6.08935312669,0.0,3.20568,2.88367312669
 08/15  05:00:00,49.4182208289,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/15  06:00:00,65.9809928063,9.20068491136,12.9688511748,0.0,15.863942322,22.606085,6.24120518524,0.151728888205,3.20568,2.88379629704
 08/15  07:00:00,62.1341539816,9.20068491136,12.3116959313,0.0,15.863942322,22.606085,143.181927868,137.089181906,3.20568,2.88706596285
 08/15  08:00:00,112.573362223,9.20068491136,14.6032086011,0.0,44.73757,41.8366005,73.0103290538,54.0949923028,16.0284,2.886936751
 08/15  09:00:00,114.554778207,9.20068491136,16.5606442598,0.0,44.73757,41.8366005,53.6134241586,34.6982161571,16.0284,2.88680800147
 08/15  10:00:00,121.053969595,9.20068491136,20.2487690365,0.0,44.73757,44.63617,39.1666423319,12.2369993942,24.0426,2.88704293767
 08/15  11:00:00,125.88221623,9.20068491136,24.3601508051,0.0,44.73757,44.63617,28.2924699919,1.36295604287,24.0426,2.88691394905
 08/15  12:00:00,126.375936776,9.20068491136,25.5444063408,0.0,44.73757,44.63617,27.0580852719,0.128699943095,24.0426,2.88678532881
 08/15  13:00:00,124.969358016,9.20068491136,26.8942063063,0.0,44.73757,41.8366005,18.9413891962,0.0259689637474,16.0284,2.88702023246
 08/15  14:00:00,124.620787071,9.20068491136,26.5336013451,0.0,44.73757,41.8366005,18.9152913589,0.0,16.0284,2.88689135885
 08/15  15:00:00,122.42604096,9.20068491136,25.5747106443,0.0,44.73757,40.636785,3.27399374339,0.0483137433857,3.20568,0.02
 08/15  16:00:00,122.319307333,9.20068491136,25.5747106443,0.0,44.73757,40.636785,6.09280661508,0.0,3.20568,2.88712661508
 08/15  17:00:00,102.598762994,9.20068491136,23.8986796332,0.0,44.73757,22.606085,6.09267730994,0.0,3.20568,2.88699730994
 08/15  18:00:00,97.9384561539,9.20068491136,19.2763892729,0.0,44.73757,22.606085,8.99275479213,0.0216537494167,3.20568,5.76542104272
 08/15  19:00:00,96.2449699393,9.20068491136,16.1855117137,0.0,44.73757,22.606085,9.00654783302,0.0273107749847,3.20568,5.77355705804
 08/15  20:00:00,74.5153980875,9.20068491136,16.3072644663,0.0,15.863942322,22.606085,8.99708867989,0.0220143733351,3.20568,5.76939430655
 08/15  21:00:00,48.4030600028,0.0,0.0,0.0,15.863942322,22.030085,8.97539466778,0.0,3.20568,5.76971466778
 08/15  22:00:00,48.442380417,0.0,0.0,0.0,15.863942322,22.030085,6.09397963518,0.0,3.20568,2.88829963518
 08/15  23:00:00,49.1618127584,0.0,0.0,0.0,15.863942322,22.030085,6.0921452887,0.0,3.20568,2.8864652887
 08/15  24:00:00,48.4535308501,0.0,0.0,0.0,15.863942322,22.030085,6.08941978422,0.0,3.20568,2.88373978422
 08/16  01:00:00,48.4477018768,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/16  02:00:00,48.4432729812,0.0,0.0,0.0,15.863942322,22.030085,6.08930241184,0.0,3.20568,2.88362241184
 08/16  03:00:00,48.4394849092,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/16  04:00:00,48.6783890157,0.0,0.0,0.0,15.863942322,22.030085,6.08938425579,0.0,3.20568,2.88370425579
 08/16  05:00:00,48.6599927374,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/16  06:00:00,69.2247266976,9.20068491136,16.5718569299,0.0,15.863942322,22.606085,6.21431781352,0.124851832752,3.20568,2.88378598077
 08/16  07:00:00,66.4047430982,9.20068491136,16.5596045451,0.0,15.863942322,22.606085,138.26807629,132.175333191,3.20568,2.88706309871
 08/16  08:00:00,114.511383987,9.20068491136,16.5263143923,0.0,44.73757,41.8366005,72.496028672,53.5806944498,16.0284,2.88693422222
 08/16  09:00:00,114.508469046,9.20068491136,16.5114603067,0.0,44.73757,41.8366005,57.473462965,38.5582571858,16.0284,2.88680577926
 08/16  10:00:00,119.170238638,9.20068491136,18.3728299968,0.0,44.73757,44.63617,51.1163194976,24.1866784571,24.0426,2.88704104057
 08/16  11:00:00,122.851617071,9.20068491136,21.3575562192,0.0,44.73757,44.63617,31.290870911,4.36135856187,24.0426,2.88691234911
 08/16  12:00:00,125.077575654,9.20068491136,24.2663604075,0.0,44.73757,44.63617,26.6410556624,0.23386863564,24.0426,2.36458702671
 08/16  13:00:00,123.528439776,9.20068491136,25.4716777103,0.0,44.73757,41.8366005,16.5703101733,0.0,16.0284,0.541910173316
 08/16  14:00:00,123.553373976,9.20068491136,25.4841628832,0.0,44.73757,41.8366005,18.915419166,0.0,16.0284,2.88701916602
 08/16  15:00:00,122.329159902,9.20068491136,25.4841628831,0.0,44.73757,40.636785,6.13625181123,0.0434950617977,3.20568,2.88707674943
 08/16  16:00:00,120.555530859,9.20068491136,23.8279085642,0.0,44.73757,40.636785,6.09280606951,0.0,3.20568,2.88712606951
 08/16  17:00:00,100.603359065,9.20068491136,21.9227459665,0.0,44.73757,22.606085,6.0926770823,0.0,3.20568,2.8869970823
 08/16  18:00:00,98.3598807776,9.20068491136,19.6980749989,0.0,44.73757,22.606085,8.97103621738,0.0,3.20568,5.76535621738
