Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/08  06:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103040707,0,1.103040707,
 01/08  07:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  08:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  09:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.102927671,0,1.102927671,
 01/08  10:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  11:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.102923189,0,1.102923189,
 01/08  12:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  13:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.103002788,0,1.103002788,
 01/08  14:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  15:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.103003999,0,1.103003999,
 01/08  16:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  17:00:00,21.23868551,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  18:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102931986,0,1.102931986,
 01/08  19:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  20:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  21:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102930444,0,1.102930444,
 01/08  22:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/08  23:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102931096,0,1.102931096,
 01/08  24:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/09  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102966837,0,1.102966837,
 01/09  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/09  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/09  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102963409,0,1.102963409,
 01/09  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/09  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.103075677,0,1.103075677,
 01/09  07:00:00,131.5073165,2.902461137,0,86.98825514,5.360832023,21.44332809,0.02,0,0.02,
 01/09  08:00:00,110.2262752,2.902461137,0,58.55108828,16.08249607,32.68178963,3.159313904,2.055793232,1.103520673,
 01/09  09:00:00,140.1155124,2.902461137,0,18.55381053,48.24748821,70.40331239,2.20220646,0.013808364,2.188398096,
 01/09  10:00:00,123.8993424,2.902658883,0.146916432,10.53909777,48.24748821,62.05474096,1.104260424,0,1.104260424,
 01/09  11:00:00,121.3920621,3.006562794,2.881968111,7.119455327,48.24748821,60.12814755,2.188415728,0,2.188415728,
 01/09  12:00:00,125.3479129,3.23740697,6.306384891,5.493451784,48.24748821,62.05474096,2.188964466,0,2.188964466,
 01/09  13:00:00,128.4247957,3.329429675,9.178004077,6.151041155,48.24748821,61.51039245,2.189667067,0,2.189667067,
 01/09  14:00:00,127.2169955,3.357144948,10.22374628,1.719940511,48.24748821,63.66023546,3.274509051,0,3.274509051,
 01/09  15:00:00,122.325306,3.154623298,10.27868845,0.507918401,48.24748821,60.12814755,1.104080694,0,1.104080694,
 01/09  16:00:00,121.3593433,2.983074907,9.493814829,0.498377741,48.24748821,60.12814755,2.188080763,0,2.188080763,
 01/09  17:00:00,124.5695545,2.962896209,6.734577129,1.130781872,48.24748821,63.01803766,2.188638905,0,2.188638905,
 01/09  18:00:00,126.2162295,3.038190535,3.594694686,4.450291999,37.52582416,62.79478806,1.10373477,0,1.10373477,
 01/09  19:00:00,91.94297511,2.902461137,1.655687912,9.750046892,26.80416012,36.01817895,1.103609436,0,1.103609436,
 01/09  20:00:00,90.41679548,2.902461137,0.284803541,12.16354285,26.80416012,33.44938775,1.103310322,0,1.103310322,
 01/09  21:00:00,80.30961714,2.902461137,0,18.42366412,16.08249607,28.08855572,1.103377641,0,1.103377641,
 01/09  22:00:00,81.75979634,2.902461137,0,21.15823893,16.08249607,26.80416012,0.02,0,0.02,
 01/09  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.102966583,0,1.102966583,
