"PVWatts: Hourly PV Performance Data"
"Requested Location:","28155 christopher lane"
"Location:","SPOKANE, WA"
"Lat (deg N):","47.63"
"Long (deg W):","117.53"
"Elev (m):","721"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","47.5"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","14.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","5","18","0","0","8.3","9.3","0","8.3","0","0"
"12","5","19","0","0","7.8","9.3","0","7.8","0","0"
"12","5","20","0","0","7.8","10.3","0","7.8","0","0"
"12","5","21","0","0","7.2","10.3","0","7.2","0","0"
"12","5","22","0","0","7.2","9.3","0","7.2","0","0"
"12","5","23","0","0","6.7","6.2","0","6.7","0","0"
"12","6","0","0","0","6.7","7.2","0","6.7","0","0"
"12","6","1","0","0","6.7","5.2","0","6.7","0","0"
"12","6","2","0","0","6.7","4.6","0","6.7","0","0"
"12","6","3","0","0","6.1","6.2","0","6.1","0","0"
"12","6","4","0","0","6.1","3.6","0","6.1","0","0"
"12","6","5","0","0","6.7","4.1","0","6.7","0","0"
"12","6","6","0","0","6.7","6.7","0","6.7","0","0"
"12","6","7","0","8","6.1","5.7","6.702","4.909","25.233","2.514"
"12","6","8","1","38","6.7","10.3","33.865","6.236","126.713","102.103"
"12","6","9","1","72","7.2","9.8","65.677","7.152","244.861","217.939"
"12","6","10","0","162","6.7","6.7","177.888","8.52","659.332","623.359"
"12","6","11","1","168","7.2","8.2","179.776","8.931","665.133","629.024"
"12","6","12","59","137","7.8","7.2","209.436","10.165","770.466","731.817"
"12","6","13","182","112","7.8","6.2","294.949","11.929","1074.865","1028.348"
"12","6","14","153","88","8.3","4.1","232.38","12.428","841.081","800.678"
"12","6","15","16","27","6.7","2.1","41.325","6.56","152.962","127.848"
"12","6","16","0","0","5.6","2.6","0","5.6","0","0"
"12","6","17","0","0","5.6","1.5","0","5.6","0","0"
"12","6","18","0","0","5.6","2.6","0","5.6","0","0"
"12","6","19","0","0","5.6","4.1","0","5.6","0","0"
"12","6","20","0","0","5.6","3.6","0","5.6","0","0"
"12","6","21","0","0","5.6","2.1","0","5.6","0","0"
"12","6","22","0","0","5.6","2.6","0","5.6","0","0"
"12","6","23","0","0","3.9","3.6","0","3.9","0","0"
"12","7","0","0","0","3.9","3.6","0","3.9","0","0"
"12","7","1","0","0","3.9","3.1","0","3.9","0","0"
"12","7","2","0","0","3.9","4.1","0","3.9","0","0"
"12","7","3","0","0","3.9","4.1","0","3.9","0","0"
"12","7","4","0","0","4.4","4.1","0","4.4","0","0"
"12","7","5","0","0","3.9","4.1","0","3.9","0","0"
"12","7","6","0","0","3.9","5.2","0","3.9","0","0"
"12","7","7","176","9","3.9","5.7","91.456","4.277","325.445","296.878"
"12","7","8","572","21","4.4","6.2","402.702","10.223","1450.102","1392.801"
"12","7","9","667","32","6.7","7.7","581.963","14.814","2085.803","2007.492"
"12","7","10","734","46","7.8","9.3","742.129","17.25","2641.837","2542.327"
"12","7","11","829","49","8.3","9.8","857.876","19.041","3031.615","2915.673"
"12","7","12","673","75","8.3","8.8","751.788","18.468","2663.035","2562.664"
"12","7","13","783","28","7.8","8.2","702.405","17.653","2490.938","2397.442"
"12","7","14","710","22","7.2","8.2","535.792","14.576","1908.057","1835.968"
"12","7","15","421","12","5.6","4.1","247.764","10.563","871.186","830.021"
"12","7","16","0","0","4.4","5.2","0","4.4","0","0"
"12","7","17","0","0","4.4","5.2","0","4.4","0","0"
"12","7","18","0","0","2.8","3.6","0","2.8","0","0"
"12","7","19","0","0","2.8","4.6","0","2.8","0","0"
"12","7","20","0","0","2.8","4.6","0","2.8","0","0"
"12","7","21","0","0","2.2","3.6","0","2.2","0","0"
"12","7","22","0","0","2.2","3.6","0","2.2","0","0"
"12","7","23","0","0","2.2","3.1","0","2.2","0","0"
"12","8","0","0","0","2.2","3.1","0","2.2","0","0"
"12","8","1","0","0","2.2","2.6","0","2.2","0","0"
"12","8","2","0","0","1.7","0","0","1.7","0","0"
"12","8","3","0","0","1.1","1.5","0","1.1","0","0"
"12","8","4","0","0","0.6","3.1","0","0.6","0","0"
"12","8","5","0","0","1.1","2.1","0","1.1","0","0"
"12","8","6","0","0","0.6","2.1","0","0.6","0","0"
"12","8","7","11","12","1.1","3.1","15.298","0.251","57.488","34.177"
"12","8","8","2","50","1.7","3.1","53.123","1.143","203.117","177.026"
"12","8","9","8","96","1.7","4.1","103.861","2.432","395.025","364.993"
"12","8","10","3","110","1.7","4.1","107.682","2.626","409.359","379.02"
"12","8","11","4","132","2.8","3.6","133.125","4.413","502.249","469.878"
"12","8","12","5","129","3.3","2.6","131.967","5.163","496.273","464.036"
"12","8","13","4","114","3.9","4.1","119.994","5.172","451.198","419.953"
"12","8","14","24","75","3.9","4.1","107.795","4.876","404.995","374.749"
"12","8","15","2","29","3.3","2.6","33.715","2.496","128.054","103.419"
"12","8","16","0","0","2.2","2.6","0","2.2","0","0"
"12","8","17","0","0","2.2","3.6","0","2.2","0","0"
"12","8","18","0","0","2.2","4.1","0","2.2","0","0"
"12","8","19","0","0","1.7","3.6","0","1.7","0","0"
"12","8","20","0","0","1.7","3.1","0","1.7","0","0"
"12","8","21","0","0","2.2","3.6","0","2.2","0","0"
"12","8","22","0","0","2.8","5.7","0","2.8","0","0"
"12","8","23","0","0","2.8","3.1","0","2.8","0","0"
"12","9","0","0","0","2.2","3.1","0","2.2","0","0"
"12","9","1","0","0","2.2","3.6","0","2.2","0","0"
"12","9","2","0","0","2.8","4.6","0","2.8","0","0"
"12","9","3","0","0","2.8","4.1","0","2.8","0","0"
"12","9","4","0","0","3.3","5.2","0","3.3","0","0"
"12","9","5","0","0","3.3","4.6","0","3.3","0","0"
"12","9","6","0","0","3.3","3.6","0","3.3","0","0"
"12","9","7","0","4","3.3","6.2","3.351","2.118","12.768","0"
"12","9","8","2","37","3.9","6.2","34.06","3.216","129.048","104.393"
"12","9","9","1","80","4.4","4.1","76.678","4.506","289.161","261.341"
"12","9","10","2","111","4.4","3.1","108.383","5.411","407.152","376.86"
"12","9","11","3","141","4.4","4.1","144.605","6.169","541.46","508.211"
"12","9","12","1","121","5","5.7","118.037","6.016","442.275","411.225"
"12","9","13","3","65","5","4.1","57.463","4.866","216.342","189.989"
